Date,Open,High,Low,Close,Volume
5-Aug-14,40.00,40.00,39.29,39.91,107754
4-Aug-14,39.66,40.20,39.35,39.78,145261
1-Aug-14,40.40,40.40,39.00,39.91,213007
31-Jul-14,40.54,40.69,40.05,40.50,149009
30-Jul-14,41.00,41.12,40.52,40.83,99194
29-Jul-14,41.27,41.37,40.76,41.02,51586
28-Jul-14,41.60,41.60,40.66,41.04,83594
25-Jul-14,41.74,41.74,41.15,41.50,75425
24-Jul-14,41.90,41.90,41.40,41.57,53185
23-Jul-14,41.50,41.95,41.46,41.70,69972
22-Jul-14,41.37,41.69,40.83,41.45,87900
21-Jul-14,41.40,41.62,41.13,41.30,68166
18-Jul-14,41.44,41.72,41.26,41.72,58386
17-Jul-14,41.78,41.78,41.48,41.56,43340
16-Jul-14,41.78,41.94,41.44,41.50,95237
15-Jul-14,42.48,42.69,41.55,41.71,99673
14-Jul-14,41.68,42.60,41.62,42.60,105026
11-Jul-14,41.69,41.86,41.22,41.82,121826
10-Jul-14,41.90,41.93,40.86,41.20,123188
9-Jul-14,42.00,42.14,41.31,41.71,120791
8-Jul-14,43.19,43.19,41.85,41.86,165764
7-Jul-14,43.50,43.50,42.76,43.16,77251
4-Jul-14,42.70,43.55,42.34,43.34,117811
3-Jul-14,42.44,42.88,41.84,42.63,103523
2-Jul-14,42.21,42.42,41.74,42.30,153782
1-Jul-14,42.20,42.46,41.73,41.95,131500
30-Jun-14,42.34,42.70,42.00,42.20,86763
27-Jun-14,42.17,42.75,42.17,42.55,46477
26-Jun-14,42.18,42.44,42.00,42.36,119758
25-Jun-14,43.12,43.12,42.08,42.51,106179
24-Jun-14,43.08,43.44,42.86,42.91,90277
23-Jun-14,43.70,44.06,43.23,43.25,127879
20-Jun-14,43.42,43.74,43.27,43.60,235499
18-Jun-14,43.20,43.36,42.86,43.20,69414
17-Jun-14,42.96,43.12,42.57,43.00,81381
16-Jun-14,42.56,42.80,42.55,42.70,73983
13-Jun-14,42.90,43.36,42.83,42.90,62762
12-Jun-14,43.46,43.54,42.95,43.38,77508
11-Jun-14,43.52,43.58,43.24,43.50,105413
10-Jun-14,42.58,43.82,42.58,43.50,121941
6-Jun-14,42.99,43.10,42.80,42.98,58092
5-Jun-14,43.16,43.16,42.71,42.79,61222
4-Jun-14,43.74,43.74,42.91,43.08,84893
3-Jun-14,43.24,43.55,43.24,43.35,68351
2-Jun-14,43.36,43.70,43.12,43.36,61836
30-May-14,43.03,43.70,43.03,43.70,152190
28-May-14,43.49,43.59,43.09,43.28,67501
27-May-14,43.35,43.71,43.18,43.48,147531
26-May-14,42.88,43.40,42.88,43.22,55799
23-May-14,42.80,42.84,42.44,42.80,61998
22-May-14,42.20,42.75,42.12,42.38,82466
21-May-14,42.23,42.51,41.51,42.00,113149
20-May-14,43.10,43.10,42.18,42.32,74688
19-May-14,42.81,43.38,42.70,42.90,107188
16-May-14,42.50,42.90,42.18,42.65,94179
15-May-14,43.25,43.44,42.70,42.90,133847
14-May-14,42.65,43.32,42.65,43.12,70224
13-May-14,43.49,43.75,42.50,42.64,155364
12-May-14,42.88,43.47,42.60,43.43,109095
9-May-14,42.17,42.76,41.92,42.64,83674
8-May-14,42.22,42.37,41.84,42.28,101030
7-May-14,41.60,42.28,41.35,42.10,146634
6-May-14,43.50,43.79,41.02,41.62,353100
5-May-14,44.45,44.54,42.78,43.80,155550
2-May-14,44.91,44.91,44.28,44.42,107220
30-Apr-14,44.74,44.80,44.16,44.74,107937
29-Apr-14,44.80,45.08,44.34,44.85,91559
28-Apr-14,44.25,44.75,44.25,44.60,80706
25-Apr-14,44.56,45.08,44.32,44.64,64656
24-Apr-14,45.38,45.88,44.58,44.90,86961
23-Apr-14,44.56,45.68,44.56,45.59,97437
22-Apr-14,43.65,44.53,43.50,44.53,68740
17-Apr-14,43.66,43.94,43.38,43.66,106672
16-Apr-14,43.89,43.95,43.25,43.58,138517
15-Apr-14,43.88,44.52,43.56,43.88,123108
14-Apr-14,44.38,44.80,43.93,44.38,127951
11-Apr-14,44.94,45.09,44.60,45.09,136496
10-Apr-14,44.50,45.50,44.42,45.30,164166
9-Apr-14,44.54,44.58,43.66,44.54,108804
8-Apr-14,44.38,44.44,43.31,43.65,164195
7-Apr-14,45.18,45.24,44.46,44.58,87962
4-Apr-14,46.00,46.02,45.54,45.54,48862
3-Apr-14,45.81,46.03,45.66,45.85,148965
2-Apr-14,45.60,45.95,45.42,45.42,152265
1-Apr-14,44.90,45.30,44.88,45.30,101743
31-Mar-14,44.50,44.86,44.24,44.86,157091
28-Mar-14,44.00,44.44,43.94,44.40,82780
27-Mar-14,43.94,44.28,43.60,43.86,95687
26-Mar-14,43.28,44.21,43.08,44.16,117050
25-Mar-14,42.37,43.24,42.32,42.90,144063
24-Mar-14,43.40,43.57,42.35,42.84,170673
21-Mar-14,43.95,44.18,43.02,43.20,399856
20-Mar-14,44.12,44.26,43.64,43.88,137357
19-Mar-14,45.60,45.68,44.32,44.32,135696
18-Mar-14,45.40,45.86,44.96,45.44,141730
17-Mar-14,44.20,45.54,44.20,45.26,179306
14-Mar-14,43.61,44.50,43.48,44.15,199980
13-Mar-14,45.93,45.93,44.10,44.10,185964
12-Mar-14,45.73,45.88,44.76,45.40,227006
11-Mar-14,46.26,46.60,45.96,45.96,111606
10-Mar-14,47.22,47.38,46.06,46.26,166825
7-Mar-14,46.98,47.58,46.65,47.58,208274
6-Mar-14,45.04,46.97,44.84,46.92,303264
5-Mar-14,44.95,45.16,44.60,45.00,92827
4-Mar-14,45.00,45.40,44.95,45.10,105720
3-Mar-14,44.32,45.40,44.00,44.70,252110
28-Feb-14,43.80,45.74,43.75,45.54,451068
27-Feb-14,44.00,44.27,42.96,42.96,177228
26-Feb-14,43.70,44.30,43.68,43.94,164360
25-Feb-14,43.80,43.82,43.02,43.07,97085
24-Feb-14,44.18,44.18,43.58,43.62,85425
21-Feb-14,43.10,43.85,43.10,43.79,97769
20-Feb-14,43.43,43.43,43.05,43.06,94964
19-Feb-14,44.22,44.30,43.44,43.60,99544
18-Feb-14,44.03,44.25,43.58,44.25,113467
17-Feb-14,43.71,44.20,43.70,44.02,116233
14-Feb-14,43.11,43.46,42.95,43.46,110375
13-Feb-14,43.52,43.54,42.36,43.16,134966
12-Feb-14,42.80,43.75,42.75,43.41,228672
11-Feb-14,41.00,42.80,41.00,42.80,277652
10-Feb-14,41.56,41.60,40.79,41.00,140665
7-Feb-14,40.26,41.32,40.01,41.32,241917
6-Feb-14,40.18,40.30,39.90,40.10,181585
5-Feb-14,40.11,40.48,39.90,40.00,171072
4-Feb-14,40.50,40.60,39.86,39.95,248087
3-Feb-14,40.92,41.50,40.70,40.76,161397
31-Jan-14,41.48,41.50,40.22,40.75,305333
30-Jan-14,42.33,42.33,40.90,41.10,274355
29-Jan-14,43.14,43.31,42.00,42.37,197618
28-Jan-14,42.99,43.00,42.40,42.98,170564
27-Jan-14,42.51,43.12,42.32,42.82,169192
24-Jan-14,43.40,43.70,42.32,42.51,256952
23-Jan-14,43.40,43.56,42.90,42.98,625099
22-Jan-14,43.21,43.54,42.90,43.54,143506
